R[kpc] vc[km/s] v_error[km/s]
0.000000000000000000e+00 6.472035075665622195e+00 5.000000000000000000e+00
1.414141414141414088e-01 9.085444205324970213e+00 5.000000000000000000e+00
2.828282828282828176e-01 9.478498216584830161e+00 5.000000000000000000e+00
4.242424242424241987e-01 2.345042338549605532e+01 5.000000000000000000e+00
5.656565656565656353e-01 2.494931759179672781e+01 5.000000000000000000e+00
7.070707070707070718e-01 3.489371356101538169e+01 5.000000000000000000e+00
8.484848484848483974e-01 3.450536860240802639e+01 5.000000000000000000e+00
9.898989898989898339e-01 3.932356145445116624e+01 5.000000000000000000e+00
1.131313131313131271e+00 4.893235336864912455e+01 5.000000000000000000e+00
1.272727272727272707e+00 4.302311575192348414e+01 5.000000000000000000e+00
1.414141414141414144e+00 5.254548282100739698e+01 5.000000000000000000e+00
1.555555555555555580e+00 5.957876589806465262e+01 5.000000000000000000e+00
1.696969696969696795e+00 6.111703593614034702e+01 5.000000000000000000e+00
1.838383838383838231e+00 7.284134894291742057e+01 5.000000000000000000e+00
1.979797979797979668e+00 7.245709016071796782e+01 5.000000000000000000e+00
2.121212121212121104e+00 7.974504149015349697e+01 5.000000000000000000e+00
2.262626262626262541e+00 8.737788078535055547e+01 5.000000000000000000e+00
2.404040404040403978e+00 8.048643501062974792e+01 5.000000000000000000e+00
2.545454545454545414e+00 8.179869706454702794e+01 5.000000000000000000e+00
2.686868686868686851e+00 8.645522685187610534e+01 5.000000000000000000e+00
2.828282828282828287e+00 9.684249171478134599e+01 5.000000000000000000e+00
2.969696969696969724e+00 8.819425668397447282e+01 5.000000000000000000e+00
3.111111111111111160e+00 8.785620537941473174e+01 5.000000000000000000e+00
3.252525252525252597e+00 1.013189100298405947e+02 5.000000000000000000e+00
3.393939393939393590e+00 9.827361896005939457e+01 5.000000000000000000e+00
3.535353535353535026e+00 9.205558898758167174e+01 5.000000000000000000e+00
3.676767676767676463e+00 9.567398029935598913e+01 5.000000000000000000e+00
3.818181818181817899e+00 9.958863951279198545e+01 5.000000000000000000e+00
3.959595959595959336e+00 1.150891387678022539e+02 5.000000000000000000e+00
4.101010101010101216e+00 1.019716739728949761e+02 5.000000000000000000e+00
4.242424242424242209e+00 9.297001636214805842e+01 5.000000000000000000e+00
4.383838383838384090e+00 1.105624356601642830e+02 5.000000000000000000e+00
4.525252525252525082e+00 1.001102315353019350e+02 5.000000000000000000e+00
4.666666666666666075e+00 1.057152755748157205e+02 5.000000000000000000e+00
4.808080808080807955e+00 1.061459839070123650e+02 5.000000000000000000e+00
4.949494949494948948e+00 1.160265898996806015e+02 5.000000000000000000e+00
5.090909090909090828e+00 1.111078121209784229e+02 5.000000000000000000e+00
5.232323232323231821e+00 1.070815942364543361e+02 5.000000000000000000e+00
5.373737373737373701e+00 1.188552766760503232e+02 5.000000000000000000e+00
5.515151515151514694e+00 1.115864022095150148e+02 5.000000000000000000e+00
5.656565656565656575e+00 1.112824432606134764e+02 5.000000000000000000e+00
5.797979797979797567e+00 1.142173122323644776e+02 5.000000000000000000e+00
5.939393939393939448e+00 1.024597294393250166e+02 5.000000000000000000e+00
6.080808080808080440e+00 1.196613180687160423e+02 5.000000000000000000e+00
6.222222222222222321e+00 1.084083403892064155e+02 5.000000000000000000e+00
6.363636363636363313e+00 1.068330062835233036e+02 5.000000000000000000e+00
6.505050505050505194e+00 1.122361189752130741e+02 5.000000000000000000e+00
6.646464646464646187e+00 1.116614356977285922e+02 5.000000000000000000e+00
6.787878787878787179e+00 1.178317377364152918e+02 5.000000000000000000e+00
6.929292929292929060e+00 1.153837203701549896e+02 5.000000000000000000e+00
7.070707070707070052e+00 1.175762414930286752e+02 5.000000000000000000e+00
7.212121212121211933e+00 1.165779531814903862e+02 5.000000000000000000e+00
7.353535353535352925e+00 1.205661670827511216e+02 5.000000000000000000e+00
7.494949494949494806e+00 1.114912682151029060e+02 5.000000000000000000e+00
7.636363636363635798e+00 1.079034538524796716e+02 5.000000000000000000e+00
7.777777777777777679e+00 1.059548089778475202e+02 5.000000000000000000e+00
